Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag
2,2, Kitab ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa.,"Kitab (Alquran) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,","Kitab (Al-Qur`ān) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,",0.93762183,0.92310107,0.95819604
2,3," Orang-orang yang beriman kepada yang gaib, mendirikan shalat, dan menafkahkan sebagian rezeki yang Kami berikan kepada mereka.","(Yaitu) mereka yang beriman kepada yang gaib, melaksanakan salat, dan menginfakkan sebagian rezeki yang Kami berikan kepada mereka,","(yaitu) mereka yang beriman kepada yang gaib, yang mendirikan salat, dan menafkahkan sebagian rezeki yang Kami anugerahkan kepada mereka,",0.90417135,0.861462,0.92880535
2,4," Dan orang-orang yang beriman kepada kitab yang diturunkan kepadamu dan kitab yang diturunkan sebelum kamu, dan kepada kehidupan akhirat, mereka adalah yakin.","dan mereka beriman kepada (Alquran) yang diturunkan kepadamu (Muhammad) dan (kitab-kitab) yang telah diturunkan sebelum engkau, dan mereka yakin akan adanya akhirat.","dan mereka yang beriman kepada Kitab (Al-Qur`ān) yang telah diturunkan kepadamu dan kitab-kitab yang telah diturunkan sebelummu, serta mereka yakin akan adanya (kehidupan) akhirat.",0.8401954,0.8032068,0.9179493
2,5, Mereka itulah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.,"Merekalah yang mendapat petunjuk dari Tuhannya, dan mereka itulah orang-orang yang beruntung.","Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka, dan merekalah orang-orang yang beruntung.",0.8804066,0.9878143,0.88777655
2,6," Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak akan beriman.","Sesungguhnya orang-orang kafir, sama saja bagi mereka, engkau (Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman.","Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak akan beriman.",0.9999998,0.93962824,0.93962824
2,7,"Allah telah mengunci hati dan pendengaran mereka, dan penglihatan mereka tertutup tirai. Dan bagi mereka azab yang besar.","Allah telah mengunci hati dan pendengaran mereka, penglihatan mereka telah tertutup, dan mereka akan mendapat azab yang berat.","Allah telah mengunci mati hati dan pendengaran mereka, dan penglihatan mereka ditutup.  Dan bagi mereka siksa yang amat berat.",0.9527466,0.95682,0.92402595
2,8," Dan di antara manusia ada orang-orang yang mengatakan: ""Kami beriman kepada Allah dan hari kemudian"", padahal mereka bukanlah orang-orang yang beriman.","Dan di antara manusia ada yang berkata, ""Kami beriman kepada Allah dan hari akhir,"" padahal sesungguhnya mereka itu bukanlah orang-orang yang beriman.","Di antara manusia ada yang mengatakan, ""Kami beriman kepada Allah dan hari kemudian"", padahal mereka itu sesungguhnya bukan orang-orang yang beriman.",0.9574543,0.92991495,0.9571556
2,9," Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri mereka sendiri, sedang mereka tidak menyadari.","Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari.","Mereka hendak menipu Allah dan orang-orang yang beriman, padahal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar.",0.9454192,0.9824354,0.93621105
2,10," Dalam hati mereka ada penyakit, lalu ditambah Allah penyakit mereka dan bagi mereka azab yang pedih, disebabkan mereka selalu berdusta.","Dalam hati mereka terdapat penyakit, lalu Allah menambah penyakitnya itu; dan mereka mendapat azab yang pedih, karena mereka berdusta.","Dalam hati mereka ada penyakit, lalu ditambah Allah penyakitnya; dan bagi mereka siksa yang pedih disebabkan mereka berdusta.",0.9614352,0.89893866,0.91376776
2,11," Dan apabila dikatakan kepada mereka: ""Janganlah kamu membuat kerusakan di muka bumi,"" mereka menjawab: ""Sesungguhnya kami hanyalah orang-orang yang melakukan perbaikan.""","Dan apabila dikatakan kepada mereka, ""Janganlah berbuat kerusakan di bumi!"" Mereka menjawab, ""Sesungguhnya kami justru orang-orang yang melakukan perbaikan.""","Dan bila dikatakan kepada mereka, “Janganlah kamu membuat kerusakan di muka bumi”, mereka menjawab, ""Sesungguhnya kami orang-orang yang mengadakan perbaikan"".",0.95376813,0.9605568,0.9614284
2,12,"Sesungguhnya mereka itulah orang-orang yang berbuat kerusakan, tetapi mereka tidak menyadarinya.","Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari.","Ingatlah, sesungguhnya mereka itulah orang-orang yang membuat kerusakan, tetapi mereka tidak sadar.",0.87674785,0.9409158,0.87118703
2,13," Dan apabila dikatakan kepada mereka: ""Berimanlah kamu sebagaimana manusia telah beriman,"" mereka menjawab: ""Haruskah kami beriman sebagaimana orang-orang bodoh telah beriman?"" Sungguh, mereka itulah orang-orang yang bodoh, tetapi mereka tidak mengetahui.","Dan apabila dikatakan kepada mereka, ""Berimanlah kamu sebagaimana orang lain yang telah beriman!"" Mereka menjawab, ""Apakah kami akan beriman seperti orang-orang yang kurang akal itu beriman?"" Ingatlah, sesungguhnya mereka itulah orang-orang yang kurang akal, tetapi mereka tidak tahu.","Apabila dikatakan kepada mereka, ""Berimanlah kamu sebagaimana orang-orang lain telah beriman"", mereka menjawab, ""Akan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman?"" Ingatlah, sesungguhnya merekalah orang-orang yang bodoh, tetapi mereka tidak tahu.",0.94029105,0.8056735,0.8079869
2,14," Dan apabila mereka bertemu dengan orang-orang yang beriman, mereka berkata: ""Kami telah beriman."" Dan apabila mereka bersama-sama dengan orang-orang jahat mereka, mereka berkata: ""Sesungguhnya kami beserta kamu, sesungguhnya kami hanyalah orang-orang yang suka mempermainkan.""","Dan apabila mereka berjumpa dengan orang yang beriman, mereka berkata, ""Kami telah beriman."" Tetapi apabila mereka kembali kepada setan-setan (para pemimpin) mereka, mereka berkata, ""Sesungguhnya kami bersama kamu, kami hanya berolok-olok.""","Dan bila mereka berjumpa dengan orang-orang yang beriman, mereka mengatakan, ""Kami telah beriman"".  Dan bila mereka kembali kepada setan-setan mereka, mereka mengatakan, ""Sesungguhnya kami sependirian dengan kamu, kami hanyalah berolok-olok"".",0.90103996,0.8862649,0.9344831
2,15," Allah mengolok-olok mereka dan menunda-nunda pelanggaran mereka, sedangkan mereka tersesat dalam kegelapan.",Allah akan memperolok-olokkan mereka dan membiarkan mereka terombang-ambing dalam kesesatan.,Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,0.7101173,0.72997195,0.95343566
2,16,"Mereka itulah orang-orang yang membeli kesesatan dengan imbalan petunjuk. Maka, jual beli mereka tidak mendatangkan keuntungan apa pun bagi mereka, dan mereka pun tidak mendapat petunjuk.",Mereka itulah yang membeli kesesatan dengan petunjuk. Maka perdagangan mereka itu tidak beruntung dan mereka tidak mendapat petunjuk.,"Mereka itulah orang yang membeli kesesatan dengan petunjuk, maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk.",0.9070972,0.8892096,0.89880097
2,17," Perumpamaan mereka adalah seperti orang yang menyalakan api, maka setelah api itu menerangi sekelilingnya, Allah hilangkan cahaya mereka dan membiarkan mereka dalam kegelapan, sehingga mereka tidak dapat melihat.","Perumpamaan mereka seperti orang-orang yang menyalakan api, setelah menerangi sekelilingnya, Allah melenyapkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan, tidak dapat melihat.","Perumpamaan mereka adalah seperti orang yang menyalakan api, maka setelah api itu menerangi sekelilingnya, Allah hilangkan cahaya (yang menyinari) mereka, dan membiarkan mereka dalam kegelapan, mereka tidak dapat melihat.",0.9854268,0.9475646,0.9584572
2,18," Tuli, bisu, dan buta, jadi mereka tidak akan kembali.","Mereka tuli, bisu dan buta, sehingga mereka tidak dapat kembali.","Mereka tuli, bisu, dan buta, maka tidaklah mereka akan kembali (ke jalan yang benar),",0.85753953,0.9137702,0.81526506
2,19," Atau seperti hujan yang turun dari langit, yang di dalamnya gelap gulita, guntur, dan kilat. Mereka menutup telinga mereka dengan jari-jari mereka karena takut akan kematian. Dan Allah meliputi orang-orang kafir.","Atau seperti (orang yang ditimpa) hujan lebat dari langit, yang disertai kegelapan, petir dan kilat. Mereka menyumbat telinga dengan jari-jarinya, (menghindari) suara petir itu karena takut mati. Allah meliputi orang-orang yang kafir.","atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita, guruh, dan kilat; mereka menyumbat telinganya dengan anak jarinya karena (mendengar suara) petir, sebab takut akan mati.   Dan Allah meliputi orang-orang yang kafir.",0.8967403,0.8934481,0.96060663
2,20,"Kilat itu hampir-hampir menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka, mereka berjalan di dalamnya, dan ketika kegelapan menyelimuti mereka, mereka berhenti. Dan seandainya Allah menghendaki, niscaya Dia mencabut pendengaran dan penglihatan mereka. Sesungguhnya Allah Maha Kuasa atas segala sesuatu.","Hampir saja kilat itu menyambar penglihatan mereka. Setiap kali (kilat itu) menyinari, mereka berjalan di bawah (sinar) itu, dan apabila gelap menerpa mereka, mereka berhenti. Sekiranya Allah menghendaki, niscaya Dia hilangkan pendengaran dan penglihatan mereka. Sungguh, Allah Mahakuasa atas segala sesuatu.","Hampir-hampir kilat itu menyambar penglihatan mereka.  Setiap kali kilat itu menyinari mereka, mereka berjalan di bawah sinar itu, dan bila gelap menimpa mereka, mereka berhenti.  Jikalau Allah menghendaki, niscaya Dia melenyapkan pendengaran dan penglihatan mereka.  Sesungguhnya Allah berkuasa atas segala sesuatu.",0.9548724,0.9486772,0.93390965
2,21," Hai sekalian manusia, sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang sebelum kamu, supaya kamu bertakwa.","Wahai manusia! Sembahlah Tuhanmu yang telah menciptakan kamu dan orang-orang yang sebelum kamu, agar kamu bertakwa.","Hai manusia, sembahlah Tuhan-mu yang telah menciptakanmu dan orang-orang yang sebelummu agar kamu bertakwa.",0.95060384,0.9558698,0.959579
