Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag,total,min sum
2,138,"Pewarna Allah, dan siapakah yang lebih baik dari Allah dalam hal pewarnaan? Dan kita adalah hamba-hamba-Nya.","""Ṣibgah Allah"" Siapa yang lebih baik ṣibgah-nya daripada Allah? Dan kepada-Nya kami menyembah.",Ṣibgah Allah.  Dan siapakah yang lebih baik Ṣibgah-nya daripada Allah? Dan hanya kepada-Nya-lah kami menyembah.,0.39719975,0.39511508,0.98528296,0.79231483,0.79231483
3,54," Dan mereka berencana, dan Allah pun berencana. Dan Allah adalah sebaik-baik perencana.","Dan mereka (orang-orang kafir) membuat tipu daya, maka Allah pun membalas tipu daya. Dan Allah sebaik-baik pembalas tipu daya.","Orang-orang kafir itu membuat tipu daya, dan Allah membalas tipu daya mereka itu.  Dan Allah sebaik-baik pembalas tipu daya.",0.4138204,0.4426761,0.9654912,0.8564965,0.8564965
4,176,"Mereka meminta pendapat hukum kepadamu. Katakanlah, ""Allah memberimu pendapat hukum tentang orang-orang yang belum mewarisi. Jika seorang laki-laki meninggal dunia dan tidak meninggalkan anak kecuali seorang saudara perempuan, maka saudara perempuannya berhak atas separuh dari harta warisan yang ditinggalkannya, dan laki-laki berhak mewarisi darinya jika ia tidak meninggalkan anak. Jika ada dua saudara perempuan, maka mereka berhak atas dua pertiga dari harta warisan yang ditinggalkannya. Jika ada saudara laki-laki dan saudara perempuan, maka laki-laki berhak atas bagian dari satu saudara perempuan. Dan dua perempuan. Allah menjelaskannya kepadamu, agar kamu tidak tersesat. Dan Allah Maha Mengetahui segala sesuatu.","Mereka meminta fatwa kepadamu (tentang kalālah). Katakanlah, ""Allah memberi fatwa kepadamu tentang kalālah (yaitu), jika seseorang mati dan dia tidak mempunyai anak tetapi mempunyai saudara perempuan, maka bagiannya (saudara perempuannya itu) separuh dari harta yang ditinggalkannya, dan saudaranya yang laki-laki mewarisi (seluruh harta saudara perempuan), jika dia tidak mempunyai anak. Tetapi jika saudara perempuan itu dua orang, maka bagi keduanya dua pertiga dari harta yang ditinggalkan. Dan jika mereka (ahli waris itu terdiri dari) saudara-saudara laki-laki dan perempuan, maka bagian seorang saudara laki-laki sama dengan bagian dua saudari perempuan. Allah menerangkan (hukum ini) kepadamu, agar kamu tidak sesat. Allah Maha Mengetahui segala sesuatu.""","Mereka meminta fatwa kepadamu (tentang kalālah). Katakanlah, ""Allah memberi fatwa kepadamu tentang kalālah (yaitu), jika seorang meninggal dunia, dan ia tidak mempunyai anak dan mempunyai saudara perempuan, maka bagi saudaranya yang perempuan itu seperdua dari harta yang ditinggalkannya, dan saudaranya yang laki-laki mempusakai (seluruh harta saudara perempuan), jika ia tidak mempunyai anak; tetapi jika saudara perempuan itu dua orang, maka bagi keduanya dua pertiga dari harta yang ditinggalkan oleh yang meninggal.  Dan jika mereka (ahli waris itu terdiri dari) saudara-saudara laki dan perempuan, maka bagian seorang saudara laki-laki sebanyak bagian dua orang saudara perempuan"".  Allah menerangkan (hukum ini) kepadamu, supaya kamu tidak sesat.  Dan Allah Maha Mengetahui segala sesuatu.",0.3929487,0.4337049,0.9587286,0.8266536,0.8266536
5,81," Dan seandainya mereka benar-benar beriman kepada Allah, Nabi (saw) dan kitab-kitab yang diwahyukan kepadanya, niscaya mereka tidak akan menjadikan keduanya sebagai pemimpin, akan tetapi kebanyakan mereka orang-orang yang fasik.","Dan sekiranya mereka beriman kepada Allah, kepada Nabi (Muhammad) dan kepada apa yang diturunkan kepadanya, niscaya mereka tidak akan menjadikan orang musyrik itu sebagai teman setia. Tetapi banyak di antara mereka, orang-orang fasik.","Sekiranya mereka beriman kepada Allah, kepada Nabi (Musa), dan kepada apa yang diturunkan kepadanya (Nabi), niscaya mereka tidak akan mengambil orang-orang musyrikin itu menjadi penolong-penolong, tapi kebanyakan dari mereka adalah orang-orang yang fasik.",0.587157,0.49677634,0.8624925,1.08393334,1.08393334
9,87," Mereka merasa puas bersama orang-orang yang tertinggal, dan hati mereka telah dimeteraikan dengan sesuatu, sehingga mereka tidak mengerti.","Mereka rela berada bersama orang-orang yang tidak pergi berperang, dan hati mereka telah tertutup, sehingga mereka tidak memahami (kebahagiaan beriman dan berjihad).","Mereka rela berada bersama orang-orang yang tidak pergi berperang, dan hati mereka telah dikunci mati maka mereka tidak mengetahui (kebahagiaan beriman dan berjihad).",0.50579774,0.49528193,0.9690749,1.00107967,1.00107967
24,8," Dan mereka menangkal azab itu dengan memberi kesaksian empat kali atas nama Allah, bahwa sesungguhnya dia termasuk orang-orang yang berdusta.","Dan istri itu terhindar dari hukuman apabila dia bersumpah empat kali atas (nama) Allah bahwa dia (suaminya) benar-benar termasuk orang-orang yang berdusta,",Istrinya itu dihindarkan dari hukuman oleh sumpahnya empat kali atas nama Allah; sesungguhnya suaminya itu benar-benar termasuk orang-orang yang dusta.,0.369777,0.39824682,0.8155194,0.76802382,0.76802382
33,14," Dan jika surga itu datang kepada mereka dari daerahnya, kemudian mereka diminta untuk mengujinya, niscaya mereka akan mengujinya, dan mereka tidak akan tinggal di dalamnya kecuali sebentar saja.","Dan kalau (Yasrib) diserang dari segala penjuru, dan mereka diminta agar membuat kekacauan, niscaya mereka mengerjakannya; dan hanya sebentar saja mereka menunggu.","Kalau (Yaṡrib) diserang dari segala penjuru, kemudian diminta kepada mereka supaya murtad , niscaya mereka mengerjakannya dan mereka tiada akan menunda untuk murtad itu, melainkan dalam waktu yang singkat.",0.5602459,0.5333402,0.84354633,1.0935861,1.0935861
47,5, Dia akan membimbing mereka dan mengatur urusan mereka dengan benar.,"Allah akan memberi petunjuk kepada mereka dan memperbaiki keadaan mereka,","Allah akan memberi pimpinan kepada mereka dan memperbaiki keadaan mereka,",0.62450266,0.56521416,0.8343748,1.1897168200000001,1.1897168200000001
48,3, Dan Allah akan memberimu kemenangan besar.,dan agar Allah menolongmu dengan pertolongan yang kuat (banyak).,dan supaya Allah menolongmu dengan pertolongan yang kuat (banyak).,0.55058897,0.5629516,0.9885328,1.11354057,1.11354057
49,4,"Sesungguhnya orang-orang yang menyeru kamu dari belakang bilik-bilik, kebanyakan mereka tidak dapat berpikir.",Sesungguhnya orang-orang yang memanggil engkau (Muhammad) dari luar kamar(mu) kebanyakan mereka tidak mengerti.,Sesungguhnya orang-orang yang memanggil kamu dari luar kamar(mu) kebanyakan mereka tidak mengerti.,0.56849253,0.48918647,0.8354488,1.057679,1.057679
