Keyword,Score,Chapter,Author
niscaya,46.74199999999999,2,Google Translate
kepadamu,33.77879999999998,2,Google Translate
kebenaran,22.662599999999998,2,Google Translate
allah,18.595200000000002,2,Google Translate
sesungguhnya,17.969400000000007,2,Google Translate
musa,16.4017,2,Google Translate
kecuali,14.763500000000004,2,Google Translate
berfirman,13.496399999999996,2,Google Translate
bertakwa,13.468799999999996,2,Google Translate
ayat,13.161299999999997,2,Google Translate
bertakwa,20.605499999999996,3,Google Translate
sesungguhnya,20.221999999999994,3,Google Translate
niscaya,17.716199999999997,3,Google Translate
kepadamu,16.525799999999993,3,Google Translate
rasul,15.877600000000006,3,Google Translate
allah,15.813899999999999,3,Google Translate
berfirman,12.978500000000002,3,Google Translate
ayat,9.7704,3,Google Translate
tuhan,7.745,3,Google Translate
kafir,7.609999999999998,3,Google Translate
niscaya,18.146500000000003,4,Google Translate
allah,16.754499999999997,4,Google Translate
kecuali,8.882000000000001,4,Google Translate
salat,7.377,4,Google Translate
kepadamu,6.304199999999999,4,Google Translate
rasul,5.9268,4,Google Translate
memperoleh,4.7076,4,Google Translate
bijaksana,4.103199999999999,4,Google Translate
pengampun,4.0573999999999995,4,Google Translate
manusia,3.8306,4,Google Translate
rasul,10.5564,5,Google Translate
niscaya,2.9722,5,Google Translate
maryam,2.7746000000000004,5,Google Translate
diharamkan,2.7534,5,Google Translate
berbuat,2.7053000000000003,5,Google Translate
berfirman,2.663,5,Google Translate
taurat,2.6197999999999997,5,Google Translate
manusia,2.5748,5,Google Translate
beriman,2.4112999999999998,5,Google Translate
sesungguhnya,2.2794000000000003,5,Google Translate
memerangi,11.903500000000003,9,Google Translate
kekafiran,10.144,9,Google Translate
rasul,9.120299999999999,9,Google Translate
niscaya,7.495600000000001,9,Google Translate
berjihad,6.393,9,Google Translate
sesungguhnya,4.581600000000001,9,Google Translate
orang,4.065600000000001,9,Google Translate
bertobat,3.8158000000000003,9,Google Translate
zakat,3.4788000000000006,9,Google Translate
kerjakan,3.4436000000000004,9,Google Translate
ayat,3.8206,24,Google Translate
aurat,2.3684000000000003,24,Google Translate
memasuki,1.799,24,Google Translate
niscaya,1.6784000000000001,24,Google Translate
sesungguhnya,1.5219,24,Google Translate
allah,1.4308,24,Google Translate
pengampun,1.3040000000000003,24,Google Translate
wanita,1.0424,24,Google Translate
mukmin,0.9758,24,Google Translate
zina,0.9526000000000001,24,Google Translate
bertakwalah,4.987199999999999,33,Google Translate
allah,3.367,33,Google Translate
niscaya,2.658,33,Google Translate
rasulullah,2.3636,33,Google Translate
mukmin,2.1403,33,Google Translate
rasul,1.9653,33,Google Translate
madinah,1.8155999999999999,33,Google Translate
kepadamu,1.3716,33,Google Translate
berbuat,1.1873,33,Google Translate
kecuali,1.0446000000000002,33,Google Translate
sesungguhnya,2.4058,47,Google Translate
bertakwa,2.3764000000000003,47,Google Translate
perbuatan,1.491,47,Google Translate
niscaya,0.9886999999999999,47,Google Translate
membinasakan,0.954,47,Google Translate
ampunan,0.8282,47,Google Translate
kafir,0.7969999999999999,47,Google Translate
penolong,0.7863,47,Google Translate
muhammad,0.7632000000000001,47,Google Translate
mengusirmu,0.7435,47,Google Translate
rasul,1.4609999999999999,48,Google Translate
kemenangan,1.0312,48,Google Translate
bumi,0.8486,48,Google Translate
niscaya,0.7021,48,Google Translate
kepadamu,0.5582,48,Google Translate
dikehendaki,0.5315000000000001,48,Google Translate
ampunan,0.5167,48,Google Translate
jalan,0.4685,48,Google Translate
menyediakan,0.46120000000000005,48,Google Translate
memerangi,0.4464,48,Google Translate
beriman,1.0051999999999999,49,Google Translate
takwa,1.0037,49,Google Translate
taat,0.9628,49,Google Translate
hai,0.9414,49,Google Translate
allah,0.8512,49,Google Translate
sesungguhnya,0.8363,49,Google Translate
amalanmu,0.8094,49,Google Translate
mulia,0.7835000000000001,49,Google Translate
berbangsa,0.7602,49,Google Translate
pengampun,0.7578,49,Google Translate
allah,0.8666999999999999,57,Google Translate
mukmin,0.8240000000000001,57,Google Translate
maha,0.7645,57,Google Translate
sesungguhnya,0.7561,57,Google Translate
cahaya,0.7285,57,Google Translate
ayat,0.7179,57,Google Translate
cahayamu,0.6890000000000001,57,Google Translate
langit,0.6072,57,Google Translate
munafik,0.5899000000000001,57,Google Translate
bertasbih,0.5859,57,Google Translate
miskin,1.1862,58,Google Translate
kepadamu,1.135,58,Google Translate
rasul,1.0408,58,Google Translate
dibangkitkan,1.021,58,Google Translate
sedekah,0.7918000000000001,58,Google Translate
kebohongan,0.7191000000000001,58,Google Translate
memperbuatnya,0.5849,58,Google Translate
menjadikan,0.5767,58,Google Translate
istri,0.5524,58,Google Translate
takut,0.5112,58,Google Translate
ditakuti,1.0234,59,Google Translate
azab,1.0126,59,Google Translate
permusuhan,0.9691000000000001,59,Google Translate
kafir,0.9485,59,Google Translate
memerangi,0.901,59,Google Translate
sesungguhnya,0.8927,59,Google Translate
berpecah,0.613,59,Google Translate
bertasbih,0.5885,59,Google Translate
perbuatan,0.514,59,Google Translate
hati,0.49670000000000003,59,Google Translate
memerangimu,0.5463,60,Google Translate
permusuhan,0.5112,60,Google Translate
mempersekutukan,0.4752,60,Google Translate
berjihad,0.4508,60,Google Translate
mengharap,0.3905,60,Google Translate
memberitahukan,0.3851,60,Google Translate
kepadamu,0.3751,60,Google Translate
antaramu,0.3664,60,Google Translate
rasul,0.3531,60,Google Translate
ingkari,0.3362,60,Google Translate
musa,0.4865,61,Google Translate
kebenaran,0.4186,61,Google Translate
berpaling,0.4044,61,Google Translate
sesungguhnya,0.4036,61,Google Translate
zalim,0.3911,61,Google Translate
penolongku,0.3757,61,Google Translate
berperang,0.3739,61,Google Translate
sampaikanlah,0.3225,61,Google Translate
taurat,0.3088,61,Google Translate
isrā,0.3029,61,Google Translate
allah,0.5298,62,Google Translate
bertasbih,0.5253,62,Google Translate
karunia,0.5091,62,Google Translate
bijaksana,0.4825,62,Google Translate
senantiasa,0.4711,62,Google Translate
rasul,0.4651,62,Google Translate
sesungguhnya,0.4054,62,Google Translate
hikmah,0.3949,62,Google Translate
ayat,0.3722,62,Google Translate
langit,0.2918,62,Google Translate
munafik,0.4804,63,Google Translate
kebenaran,0.4137,63,Google Translate
melalaikan,0.3555,63,Google Translate
rasul,0.3369,63,Google Translate
pendusta,0.3238,63,Google Translate
membinasakan,0.3132,63,Google Translate
waspadalah,0.228,63,Google Translate
teriakan,0.2192,63,Google Translate
kepadamu,0.2121,63,Google Translate
menangguhkan,0.1911,63,Google Translate
kepadamu,1.4552,64,Google Translate
allah,1.1444999999999999,64,Google Translate
disembah,1.0804,64,Google Translate
tuhan,1.0405,64,Google Translate
mukmin,0.9758,64,Google Translate
beriman,0.8498,64,Google Translate
pengampun,0.8147,64,Google Translate
sesungguhnya,0.7833000000000001,64,Google Translate
taatlah,0.7815000000000001,64,Google Translate
bertawakal,0.7489,64,Google Translate
menceraikan,0.5562,65,Google Translate
rujukilah,0.5088,65,Google Translate
lepaskanlah,0.4315,65,Google Translate
dikehendaki,0.4091,65,Google Translate
istri,0.4091,65,Google Translate
persaksikanlah,0.3473,65,Google Translate
kecuali,0.3406,65,Google Translate
musyawarahkanlah,0.3363,65,Google Translate
melipatgandakan,0.3231,65,Google Translate
menyusukan,0.3191,65,Google Translate
mengharamkan,0.6709,66,Google Translate
diperintahkan,0.5357,66,Google Translate
menceraikan,0.5045,66,Google Translate
berpuasa,0.5024,66,Google Translate
perbuatannya,0.4082,66,Google Translate
perangilah,0.3832,66,Google Translate
rahasia,0.3529,66,Google Translate
isyah,0.3471,66,Google Translate
bakarnya,0.3005,66,Google Translate
jibril,0.3003,66,Google Translate
