Keyword,Score,Chapter,Author
tuhanmu,45.4995,2,Google Translate
kepadamu,32.814599999999984,2,Google Translate
kebenaran,32.5192,2,Google Translate
niscaya,23.029799999999994,2,Google Translate
zalim,21.661999999999995,2,Google Translate
petunjuk,20.271500000000003,2,Google Translate
bertakwa,15.7196,2,Google Translate
berfirman,13.215199999999996,2,Google Translate
ingatlah,11.083199999999998,2,Google Translate
ingkar,9.666299999999998,2,Google Translate
bertakwa,20.4205,3,Google Translate
allah,19.9908,3,Google Translate
niscaya,15.723499999999996,3,Google Translate
sesungguhnya,13.512000000000004,3,Google Translate
kepadamu,12.07,3,Google Translate
berfirman,7.612,3,Google Translate
rasul,7.0178,3,Google Translate
kafir,6.920200000000001,3,Google Translate
tuhanmu,6.650700000000001,3,Google Translate
hati,6.2048000000000005,3,Google Translate
allah,22.332600000000006,4,Google Translate
niscaya,21.476399999999998,4,Google Translate
rasul,9.8781,4,Google Translate
alquran,9.3954,4,Google Translate
kecuali,8.956799999999998,4,Google Translate
kepadamu,8.5998,4,Google Translate
beriman,7.5646,4,Google Translate
kekafiran,5.769,4,Google Translate
bagimu,5.625,4,Google Translate
salat,5.0694,4,Google Translate
rasul,7.968600000000001,5,Google Translate
sesungguhnya,4.1826,5,Google Translate
bertakwalah,3.9212999999999996,5,Google Translate
kepadamu,3.8056,5,Google Translate
permusuhan,3.564,5,Google Translate
maryam,3.0304000000000006,5,Google Translate
haram,2.9264,5,Google Translate
niscaya,2.8756000000000004,5,Google Translate
taurat,2.7494,5,Google Translate
berfirman,2.6479999999999997,5,Google Translate
rasul,9.4218,9,Google Translate
memerangi,9.143599999999998,9,Google Translate
niscaya,7.9268,9,Google Translate
kekafiran,7.6854000000000005,9,Google Translate
berjihad,7.466100000000001,9,Google Translate
allah,4.436999999999999,9,Google Translate
zakat,3.4946,9,Google Translate
bertobat,3.4082,9,Google Translate
beriman,2.7137,9,Google Translate
orang,2.6925000000000003,9,Google Translate
menikah,2.9034,24,Google Translate
ayat,2.9024,24,Google Translate
pengampun,2.6058,24,Google Translate
aurat,2.3034,24,Google Translate
memasuki,1.9329999999999998,24,Google Translate
barangsiapa,1.8498,24,Google Translate
allah,1.5364000000000002,24,Google Translate
kepadamu,1.3947,24,Google Translate
salat,1.3364,24,Google Translate
bersumpah,1.0191999999999999,24,Google Translate
bertakwalah,5.3343,33,Google Translate
niscaya,2.7354000000000003,33,Google Translate
mukmin,2.3205,33,Google Translate
rasul,2.0837000000000003,33,Google Translate
madinah,2.082,33,Google Translate
beriman,1.8636,33,Google Translate
allah,1.8417000000000001,33,Google Translate
sesungguhnya,1.6305,33,Google Translate
pengampun,1.5393000000000001,33,Google Translate
kepadamu,1.4930999999999999,33,Google Translate
bertakwa,3.9477,47,Google Translate
perbuatan,2.1542,47,Google Translate
menghalang,1.973,47,Google Translate
memabukkan,1.5429999999999997,47,Google Translate
niscaya,1.0775000000000001,47,Google Translate
muhammad,1.0411000000000001,47,Google Translate
membinasakan,0.9146,47,Google Translate
kafir,0.9067000000000001,47,Google Translate
allah,0.8922000000000001,47,Google Translate
berpegang,0.6887000000000001,47,Google Translate
rasul,1.5075999999999998,48,Google Translate
mahaperkasa,0.8754000000000001,48,Google Translate
bumi,0.8640000000000001,48,Google Translate
allah,0.8622,48,Google Translate
berjanji,0.6934,48,Google Translate
barangsiapa,0.6729,48,Google Translate
sesungguhnya,0.6292,48,Google Translate
ampunan,0.5673,48,Google Translate
kemenangan,0.5442,48,Google Translate
ketenangan,0.5021,48,Google Translate
amalmu,2.0098000000000003,49,Google Translate
berbangsa,1.579,49,Google Translate
islam,1.4058000000000002,49,Google Translate
beriman,0.9803,49,Google Translate
mahateliti,0.963,49,Google Translate
allah,0.9298,49,Google Translate
sesungguhnya,0.8169,49,Google Translate
jadikan,0.8152,49,Google Translate
keimanan,0.7604,49,Google Translate
berjihad,0.7306999999999999,49,Google Translate
mukmin,1.7234,57,Google Translate
tuhanmu,1.0307,57,Google Translate
ayat,0.7708999999999999,57,Google Translate
cahaya,0.7585999999999999,57,Google Translate
cahayamu,0.7453,57,Google Translate
langit,0.6839,57,Google Translate
mahakuasa,0.654,57,Google Translate
munafik,0.6091,57,Google Translate
bumi,0.5469999999999999,57,Google Translate
bertasbih,0.5333,57,Google Translate
mengetahuinya,1.0728,58,Google Translate
kepadamu,1.0324,58,Google Translate
sedekah,0.8931,58,Google Translate
kebohongan,0.6897,58,Google Translate
miskin,0.6462,58,Google Translate
tunaikanlah,0.6431,58,Google Translate
rasul,0.5944,58,Google Translate
barangsiapa,0.4878,58,Google Translate
takut,0.4716,58,Google Translate
sungguh,0.4689,58,Google Translate
kafir,0.9163,59,Google Translate
memerangi,0.9151,59,Google Translate
ditakuti,0.8803000000000001,59,Google Translate
permusuhan,0.8686,59,Google Translate
sesungguhnya,0.8152999999999999,59,Google Translate
muslimin,0.7178,59,Google Translate
mahakuasa,0.7119,59,Google Translate
takut,0.7019,59,Google Translate
neraka,0.6575,59,Google Translate
disebabkan,0.6124,59,Google Translate
memerangi,0.5682,60,Google Translate
ingkar,0.4785,60,Google Translate
terhadapmu,0.4669,60,Google Translate
kekafiran,0.4666,60,Google Translate
barangsiapa,0.4616,60,Google Translate
memberitahukan,0.3965,60,Google Translate
tuhanmu,0.3545,60,Google Translate
kaumnya,0.3472,60,Google Translate
musuhi,0.3439,60,Google Translate
berputus,0.3031,60,Google Translate
kepadamu,0.4391,61,Google Translate
berpaling,0.437,61,Google Translate
musa,0.4338,61,Google Translate
kebenaran,0.4337,61,Google Translate
penolongku,0.4199,61,Google Translate
allah,0.4176,61,Google Translate
musyrik,0.3988,61,Google Translate
mencintai,0.3938,61,Google Translate
sesungguhnya,0.3827,61,Google Translate
menyakitiku,0.3709,61,Google Translate
karunia,0.5455,62,Google Translate
allah,0.5223,62,Google Translate
bertasbih,0.4785,62,Google Translate
rasul,0.4418,62,Google Translate
senantiasa,0.4208,62,Google Translate
hikmah,0.4196,62,Google Translate
mahaperkasa,0.4112,62,Google Translate
ayat,0.4048,62,Google Translate
sesungguhnya,0.3918,62,Google Translate
langit,0.3576,62,Google Translate
munafik,0.4954,63,Google Translate
kebenaran,0.4146,63,Google Translate
sesungguhnya,0.3884,63,Google Translate
rasul,0.3442,63,Google Translate
membinasakan,0.323,63,Google Translate
pendusta,0.3124,63,Google Translate
