Keyword	Score	Chapter	Author
barangsiapa	18.072500000000005	4	Google Translate
jalan	13.320999999999998	4	Google Translate
petunjuk	5.828400000000001	4	Google Translate
memperoleh	4.3155	4	Google Translate
jahannam	4.0785	4	Google Translate
nasrani	3.3997999999999995	5	Google Translate
haram	2.8638000000000003	5	Google Translate
taurat	2.5142	5	Google Translate
berbuat	2.4694	5	Google Translate
berjihad	6.237000000000001	9	Google Translate
aurat	2.177	24	Google Translate
salat	1.9906	24	Google Translate
air	1.315	24	Google Translate
izin	1.0724	24	Google Translate
kehendaki	1.0329	24	Google Translate
niscaya	2.833	33	Google Translate
kebenaran	1.5302	33	Google Translate
menghalangi	2.0212	47	Google Translate
kejahatannya	1.5048	47	Google Translate
bertakwa	1.2543	47	Google Translate
penyakit	1.2486	47	Google Translate
hatinya	1.1268	47	Google Translate
membinasakan	0.8494999999999999	47	Google Translate
bukti	0.8028000000000001	47	Google Translate
memenuhi	0.6282000000000001	48	Google Translate
kemenangan	0.619	48	Google Translate
bijaksana	0.5470999999999999	48	Google Translate
tinggalkanlah	0.5235000000000001	48	Google Translate
ampunan	0.5188	48	Google Translate
dengki	0.4711	48	Google Translate
berserah	2.1068	49	Google Translate
amalmu	2.059	49	Google Translate
berbangsa	1.477	49	Google Translate
menaati	0.6907000000000001	49	Google Translate
cahaya	1.5644	57	Google Translate
menipu	0.5664	57	Google Translate
berseru	0.5586	57	Google Translate
bumi	0.5319	57	Google Translate
bersumpah	1.908	58	Google Translate
mengetahuinya	1.2438	58	Google Translate
sungguh	1.2202	58	Google Translate
bersedekah	0.7969999999999999	58	Google Translate
dirikanlah	0.7632	58	Google Translate
dosamu	0.7021	58	Google Translate
melakukannya	0.6026	58	Google Translate
takut	0.7665	59	Google Translate
kekerasan	0.6614	59	Google Translate
bertakwalah	0.6483	59	Google Translate
perbuatan	0.6128	59	Google Translate
musafir	0.5407	59	Google Translate
persekutukan	0.5391	59	Google Translate
memerangi	0.5407	60	Google Translate
mengingkari	0.5265	60	Google Translate
mendustakanmu	0.4646	60	Google Translate
musuhmu	0.4641	60	Google Translate
permusuhan	0.4273	60	Google Translate
kerjakan	0.3991	60	Google Translate
keridhaan	0.3642	60	Google Translate
berzina	0.3431	60	Google Translate
sekutu	0.2955	60	Google Translate
kebohongan	0.4809	61	Google Translate
mempersekutukan	0.4482	61	Google Translate
zalim	0.4465	61	Google Translate
azab	0.4456	61	Google Translate
musa	0.4219	61	Google Translate
melawan	0.3762	61	Google Translate
menyakitiku	0.3714	61	Google Translate
penolongku	0.3479	61	Google Translate
karunia	0.5578	62	Google Translate
bertasbih	0.5282	62	Google Translate
rezeki	0.4873	62	Google Translate
amanah	0.4406	62	Google Translate
ayat	0.4065	62	Google Translate
menyucikan	0.3587	62	Google Translate
langit	0.3508	62	Google Translate
munafik	0.4828	63	Google Translate
menyombongkan	0.4427	63	Google Translate
bersaksi	0.3826	63	Google Translate
melalaikan	0.3656	63	Google Translate
pendusta	0.3537	63	Google Translate
rasul	0.3164	63	Google Translate
hati	0.2992	63	Google Translate
kepadamu	0.2775	63	Google Translate
allah	2.1518	64	Google Translate
istri	1.2258	64	Google Translate
beriman	0.8461	64	Google Translate
maha	0.8313	64	Google Translate
pengampun	0.8011	64	Google Translate
bertawakal	0.7848999999999999	64	Google Translate
sesungguhnya	0.7389	64	Google Translate
cobaan	0.7334	64	Google Translate
mengampuni	0.7047	64	Google Translate
pahala	0.6553	64	Google Translate
peliharalah	0.587	65	Google Translate
ceraikanlah	0.5219	65	Google Translate
pisahkanlah	0.5124	65	Google Translate
mencukupinya	0.4931	65	Google Translate
menimpakan	0.4882	65	Google Translate
iddah	0.4868	65	Google Translate
mengusir	0.4683	65	Google Translate
berikanlah	0.4624	65	Google Translate
menyempurnakan	0.4367	65	Google Translate
mengharamkan	0.7346	66	Google Translate
diperintahkan	0.5424	66	Google Translate
menceraikan	0.5184	66	Google Translate
kecuali	0.3689	66	Google Translate
saw	0.3649	66	Google Translate
kafir	0.3645	66	Google Translate
mengkhianati	0.3354	66	Google Translate
pernyataan	0.3201	66	Google Translate
perumpamaan	0.3029	66	Google Translate
tuhanmu	0.3	66	Google Translate
