,Unnamed: 0,Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag,total,min sum
136,136,2,138,"Pewarna Allah, dan siapakah yang lebih baik dari Allah dalam hal pewarnaan? Dan kita adalah hamba-hamba-Nya.","""Ṣibgah Allah"" Siapa yang lebih baik ṣibgah-nya daripada Allah? Dan kepada-Nya kami menyembah.",Ṣibgah Allah.  Dan siapakah yang lebih baik Ṣibgah-nya daripada Allah? Dan hanya kepada-Nya-lah kami menyembah.,0.5091562,0.50397897,0.9627611,1.01313517,1.01313517
337,337,3,54," Dan mereka berencana, dan Allah pun berencana. Dan Allah adalah sebaik-baik perencana.","Dan mereka (orang-orang kafir) membuat tipu daya, maka Allah pun membalas tipu daya. Dan Allah sebaik-baik pembalas tipu daya.","Orang-orang kafir itu membuat tipu daya, dan Allah membalas tipu daya mereka itu.  Dan Allah sebaik-baik pembalas tipu daya.",0.44710162,0.4761802,0.945183,0.9232818199999999,0.9232818199999999
581,581,4,98," Kecuali orang-orang tertindas di antara laki-laki, perempuan, dan anak-anak yang tidak dapat merancang rencana dan juga tidak ditunjukkan jalan.","Kecuali mereka yang tertindas baik laki-laki atau perempuan dan anak-anak yang tidak berdaya dan tidak mengetahui jalan (untuk berhijrah),","kecuali mereka yang tertindas, baik laki-laki atau wanita ataupun anak-anak yang tidak mampu berdaya upaya dan tidak mengetahui jalan (untuk hijrah),",0.4930491,0.612253,0.8256724,1.1053021,1.1053021
762,762,5,103," Allah tidak menjadikan sesuatu pun yang Bahiroh, Sa'ibah, Wasilah dan Hami, akan tetapi orang-orang yang kafir itu mengada-adakan kebohongan terhadap Allah, dan kebanyakan mereka tidak dapat berpikir.","Allah tidak pernah mensyariatkan adanya Baḥīrah, Sāibah, Waṣīlah dan Ḥām. Tetapi orang-orang kafir membuat-buat kedustaan terhadap Allah, dan kebanyakan mereka tidak mengerti.","Allah sekali-kali tidak pernah mensyariatkan adanya baḥīrah, sā`ibah, waṣīlah, dan ḥām.  Akan tetapi, orang-orang kafir membuat-buat kedustaan terhadap Allah, dan kebanyakan mereka tidak mengerti.",0.609727,0.6141957,0.96487105,1.2239227000000001,1.2239227000000001
816,816,9,37,"Interkalasi hanyalah penambahan kekufuran yang dengannya orang-orang kafir disesatkan. Mereka menghalalkannya pada suatu tahun dan mengharamkannya pada tahun yang lain agar mereka dapat menyempurnakan apa yang diharamkan Allah, dan dengan demikian menghalalkan apa yang diharamkan Allah. Perbuatan-perbuatan jahat mereka telah dijadikan indah bagi mereka, dan Allah tidak memberi petunjuk kepada orang-orang kafir.","Sesungguhnya pengunduran (bulan haram) itu hanya menambah kekafiran. Orang-orang kafir disesatkan dengan (pengunduran) itu, mereka menghalalkannya satu tahun dan mengharamkannya pada tahun yang lain, agar mereka dapat menyesuaikan dengan bilangan yang diharamkan Allah, sekaligus mereka menghalalkan apa yang diharamkan Allah. (Oleh Setan) dijadikan terasa indah bagi mereka perbuatan-perbuatan buruk mereka. Dan Allah tidak memberi petunjuk kepada orang-orang yang kafir.","Sesungguhnya mengundur-undurkan bulan haram itu adalah menambah kekafiran, disesatkan orang-orang yang kafir dengan mengundur-undurkan itu, mereka menghalalkannya pada suatu tahun dan mengharamkannya pada tahun yang lain, agar mereka dapat mensesuaikan dengan bilangan yang Allah mengharamkannya, maka mereka menghalalkan apa yang diharamkan Allah.  (Setan) menjadikan mereka memandang baik perbuatan mereka yang buruk itu.  Dan Allah tidak memberi petunjuk kepada orang-orang yang kafir.",0.34677973,0.35438406,0.879055,0.7011637900000001,0.7011637900000001
957,957,24,49," Dan jika kebenaran itu milik mereka, mereka akan menerimanya dengan berserah diri.","Tetapi, jika kebenaran dipihak mereka, mereka datang kepadanya (Rasul) dengan patuh.","Tetapi jika keputusan itu untuk (kemaslahatan) mereka, mereka datang kepada rasul dengan patuh.",0.31412506,0.7111229,0.52515614,1.02524796,1.02524796
986,986,33,14," Dan jika surga itu datang kepada mereka dari daerahnya, kemudian mereka diminta untuk mengujinya, niscaya mereka akan mengujinya, dan mereka tidak akan tinggal di dalamnya kecuali sebentar saja.","Dan kalau (Yasrib) diserang dari segala penjuru, dan mereka diminta agar membuat kekacauan, niscaya mereka mengerjakannya; dan hanya sebentar saja mereka menunggu.","Kalau (Yaṡrib) diserang dari segala penjuru, kemudian diminta kepada mereka supaya murtad , niscaya mereka mengerjakannya dan mereka tiada akan menunda untuk murtad itu, melainkan dalam waktu yang singkat.",0.43817282,0.42802608,0.77261436,0.8661989,0.8661989
1050,1050,47,5, Dia akan membimbing mereka dan mengatur urusan mereka dengan benar.,"Allah akan memberi petunjuk kepada mereka dan memperbaiki keadaan mereka,","Allah akan memberi pimpinan kepada mereka dan memperbaiki keadaan mereka,",0.57049555,0.5294588,0.8965346,1.09995435,1.09995435
1086,1086,48,3, Dan Allah akan memberimu kemenangan besar.,dan agar Allah menolongmu dengan pertolongan yang kuat (banyak).,dan supaya Allah menolongmu dengan pertolongan yang kuat (banyak).,0.57163674,0.5645894,0.9781045,1.13622614,1.13622614
1116,1116,49,4,"Sesungguhnya orang-orang yang menyeru kamu dari belakang bilik-bilik, kebanyakan mereka tidak dapat berpikir.",Sesungguhnya orang-orang yang memanggil engkau (Muhammad) dari luar kamar(mu) kebanyakan mereka tidak mengerti.,Sesungguhnya orang-orang yang memanggil kamu dari luar kamar(mu) kebanyakan mereka tidak mengerti.,0.6084319,0.59459865,0.9300325,1.20303055,1.20303055
1144,1144,57,14,"Mereka berseru kepada orang-orang kafir, “Bukankah kami dahulu bersama kamu?” Mereka menjawab, “Benar, tetapi kamu telah mencobai dirimu sendiri, menanti-nantikan, dan ragu-ragu, dan angan-anganmu itu telah menipu kamu, hingga datanglah keputusan Allah, lalu penipu itu menipu kamu tentang Allah.”","Orang-orang munafik memanggil orang-orang mukmin, ""Bukankah kami dahulu bersama kamu?"" Mereka menjawab, ""Benar, tetapi kamu mencelakakan dirimu sendiri, dan kamu hanya menunggu, meragukan (janji Allah) dan ditipu oleh angan-angan kosong sampai datang ketetapan Allah; dan penipu (setan) datang memperdaya kamu tentang Allah.","Orang-orang munafik itu memanggil mereka (orang-orang mukmin) seraya berkata, ""Bukankah kami dahulu bersama-sama dengan kamu?"" Mereka menjawab, ""Benar, tetapi kamu mencelakakan dirimu sendiri dan menunggu (kehancuran kami), dan kamu ragu-ragu serta ditipu oleh angan-angan kosong sehingga datanglah ketetapan Allah; dan kamu telah ditipu terhadap Allah oleh (setan) yang amat penipu.",0.6749748,0.6921643,0.97070813,1.3671391,1.3671391
