nomor_ayat,google_translate
1, Segala yang di langit dan segala yang di bumi bertasbih kepada Allah. Dia-lah Yang Maha Perkasa lagi Maha Bijaksana.
2," Hai orang-orang yang beriman, mengapa kamu mengatakan apa yang tidak kamu perbuat?"
3, Amat besar kebencian di sisi Allah jika kamu mengatakan apa-apa yang tidak kamu kerjakan.
4," Sesungguhnya Allah menyukai orang-orang yang berperang di jalan-Nya dalam barisan yang teratur, seolah-olah mereka seperti suatu bangunan yang kokoh."
5,"Dan ingatlah ketika Musa berkata kepada kaumnya, ""Hai kaumku, mengapa kalian menyakitiku, padahal kalian tahu bahwa aku adalah utusan Allah untuk kalian?"" Tetapi ketika mereka menyimpang, Allah pun menyesatkan hati mereka. Dan Allah tidak memberi petunjuk kepada kaum yang durhaka."
6," Dan (ingatlah) ketika Isa putra Maryam berkata: ""Hai Bani Israil, sesungguhnya aku ini adalah utusan Allah kepadamu, membenarkan kitab-kitab yang sebelumku, yaitu Taurat, dan memberi kabar gembira dengan seorang utusan yang akan datang setelahku, namanya Ahmad."" Maka tatkala Isa datang kepada mereka dengan bukti-bukti yang nyata, mereka berkata: ""Ini adalah sihir yang nyata."""
7,"Dan siapakah yang lebih zalim daripada orang yang mengarang kebohongan tentang Allah, padahal ia sedang diajak masuk Islam? Dan Allah tidak memberi petunjuk kepada orang-orang yang zalim."
8," Mereka hendak memadamkan cahaya Allah dengan mulut mereka, padahal Allah tetap menyempurnakan cahaya-Nya, meskipun orang-orang kafir tidak menyukainya."
9," Dialah yang telah mengutus Rasul-Nya dengan petunjuk dan agama yang benar untuk dimenangkan-Nya atas segala agama, meskipun orang-orang yang mempersekutukan Allah tidak menyukainya."
10," Hai orang-orang yang beriman, maukah kamu Aku tunjukkan suatu jual beli yang dapat menyelamatkan kamu dari azab yang pedih?"
11,"Kamu beriman kepada Allah dan Rasul-Nya, dan berjihad di jalan Allah dengan harta dan jiwamu. Yang demikian itu lebih baik bagimu, jika kamu mengetahui."
12," Dia akan mengampuni dosa-dosamu dan memasukkanmu ke dalam surga yang mengalir di bawahnya sungai-sungai, dan tempat tinggal yang baik di surga-surga yang kekal. Itulah kemenangan yang agung."
13, Dan satu lagi yang kamu sukai: kemenangan dari Allah dan kemenangan yang dekat. Dan sampaikanlah kabar gembira kepada orang-orang yang beriman.
14,"Wahai orang-orang yang beriman, jadilah penolong Allah, sebagaimana Isa putra Maryam berkata kepada para murid, ""Siapakah penolongku bagi Allah?"" Para murid menjawab, ""Kami adalah penolong Allah."" Maka sebagian dari Bani Israil beriman, dan sebagian lagi kafir, maka Kami bantu orang-orang yang beriman itu melawan musuh mereka. Maka nyatalah mereka."
